sub_chapter_name,hsn,rate,chapter_name,sub_category_name,category_name
"MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS (OTHER THAN THOSE OF HEADING 8702), INCLUDING STATION WAGONS AND RACING CARS. ",HSN 8703 80 30,28,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Motor cars,"Other vehicles, with only electric motor for propulsion: "
"MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS (OTHER THAN THOSE OF HEADING 8702), INCLUDING STATION WAGONS AND RACING CARS. ",HSN 8703 70 90,,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Other,"Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi- diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power: "
"MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS (OTHER THAN THOSE OF HEADING 8702), INCLUDING STATION WAGONS AND RACING CARS. ",HSN 8703 70 20,28,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof","Specialised transport vehicles such as ambulances, prison vans and the like","Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi- diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power: "
"MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS (OTHER THAN THOSE OF HEADING 8702), INCLUDING STATION WAGONS AND RACING CARS. ",HSN 8703 70 40,28,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Three-wheeled vehicles,"Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi- diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power: "
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 39 90,,Chapter 73 : Articles of iron or steel,Other,Other: 
"MOTOR CARS AND OTHER MOTOR VEHICLES PRINCIPALLY DESIGNED FOR THE TRANSPORT OF PERSONS (OTHER THAN THOSE OF HEADING 8702), INCLUDING STATION WAGONS AND RACING CARS. ",HSN 8703 70 30,28,"Chapter 87 : Vehicles other than railway or tramway rollingstocks,and parts and accessories thereof",Motor cars,"Other vehicles, with both compression-ignition internal combustion piston engine (diesel or semi- diesel) and electric motor as motors for propulsion, capable of being charged by plugging to external source of electric power: "
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 39 10,18,Chapter 73 : Articles of iron or steel,Of iron,Other: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 31 90,,Chapter 73 : Articles of iron or steel,Other,Longitudinally welded: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 31 10,18,Chapter 73 : Articles of iron or steel,Of iron,Longitudinally welded: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 20 90,,Chapter 73 : Articles of iron or steel,Other,Casing of a kind used in drilling for oil or gas: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 19 29,,Chapter 73 : Articles of iron or steel,Other,Non-galvanised (black) pipes: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 19 21,18,Chapter 73 : Articles of iron or steel,Of iron,Non-galvanised (black) pipes: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 12 29,,Chapter 73 : Articles of iron or steel,Other,Non-galvanised pipes: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 20 10,18,Chapter 73 : Articles of iron or steel,Of iron,Casing of a kind used in drilling for oil or gas: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 12 19,,Chapter 73 : Articles of iron or steel,Other,Galvanised pipes: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 12 11,18,Chapter 73 : Articles of iron or steel,Of iron,Galvanised pipes: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 19 19,,Chapter 73 : Articles of iron or steel,Other,Galvanised pipes: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 12 21,18,Chapter 73 : Articles of iron or steel,Of iron,Non-galvanised pipes: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 11 19,,Chapter 73 : Articles of iron or steel,Other,Galvanised pipes: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 11 29,,Chapter 73 : Articles of iron or steel,Other,Non-galvanised pipes: 
"NAILS, TACKS, DRAWING PINS, STAPLES (OTHER THAN THOSE OF HEADING 8305) AND SIMILAR ARTICLES, OF COPPER OR OF IRON OR STEEL WITH HEADS OF COPPER; SCREWS, BOLTS, NUTS, SCREW HOOKS, RIVETS, COTTERS, COTTER-PINS, WASHERS (INCLUDING SPRING WASHERS) AND SIMILAR ARTICLES, OF COPPER ",HSN 7415 21 00,18,Chapter 74 : Copper and articles thereof,Washers (including spring washers),"Other articles, not threaded: "
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 19 11,18,Chapter 73 : Articles of iron or steel,Of iron,Galvanised pipes: 
"COPPER TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES) ",HSN 7412 20 19,,Chapter 74 : Copper and articles thereof,Other,Brass: 
"COPPER TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES) ",HSN 7413 00 00,18,Chapter 74 : Copper and articles thereof,"Stranded wire, cables, plated bands and the like, of copper, not electrically insulated",Brass: 
"OTHER TUBES AND PIPES (FOR EXAMPLE, WELDED, RIVETED OR SIMILARLY CLOSED), HAVING CIRCULAR CROSS-SECTIONS, THE EXTERNAL DIAMETER OF WHICH EXCEEDS 406.4 MM, OF IRON OR STEEL ",HSN 7305 11 21,18,Chapter 73 : Articles of iron or steel,Of iron,Non-galvanised pipes: 
"COPPER TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES) ",HSN 7412 20 90,18,Chapter 74 : Copper and articles thereof,Fittings of bronze and similar alloys of copper,Brass: 
"COPPER TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES) ",HSN 7412 10 00,18,Chapter 74 : Copper and articles thereof,Of refined copper,
"COPPER TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES) ",HSN 7412 20 11,18,Chapter 74 : Copper and articles thereof,Tube-well strainer,Brass: 
"NAILS, TACKS, DRAWING PINS, STAPLES (OTHER THAN THOSE OF HEADING 8305) AND SIMILAR ARTICLES, OF COPPER OR OF IRON OR STEEL WITH HEADS OF COPPER; SCREWS, BOLTS, NUTS, SCREW HOOKS, RIVETS, COTTERS, COTTER-PINS, WASHERS (INCLUDING SPRING WASHERS) AND SIMILAR ARTICLES, OF COPPER ",HSN 7415 10 00,18,Chapter 74 : Copper and articles thereof,"Nails and tacks, drawing pins, staples and similar articles",
COPPER TUBES AND PIPES ,HSN 7411 10 00,18,Chapter 74 : Copper and articles thereof,Of refined copper,
"COPPER TUBE OR PIPE FITTINGS (FOR EXAMPLE, COUPLINGS, ELBOWS, SLEEVES) ",HSN 7412 20 12,18,Chapter 74 : Copper and articles thereof,Hose connectors,Brass: 
COPPER TUBES AND PIPES ,HSN 7411 21 00,18,Chapter 74 : Copper and articles thereof,Of copper-zinc base alloys (brass),Of copper alloys: 
COPPER TUBES AND PIPES ,HSN 7411 29 00,,Chapter 74 : Copper and articles thereof,Other,Of copper alloys: 
"COPPER FOIL (WHETHER OR NOT PRINTED OR BACKED WITH PAPER, PAPERBOARD, PLASTICS OR SIMILAR BACKING MATERIALS) OF A THICKNESS (EXCLUDING ANY BACKING) NOT EXCEEDING 0.15 MM ",HSN 7410 22 00,28,Chapter 74 : Copper and articles thereof,Of copper alloys,Backed: 
"COPPER FOIL (WHETHER OR NOT PRINTED OR BACKED WITH PAPER, PAPERBOARD, PLASTICS OR SIMILAR BACKING MATERIALS) OF A THICKNESS (EXCLUDING ANY BACKING) NOT EXCEEDING 0.15 MM ",HSN 7410 21 00,18,Chapter 74 : Copper and articles thereof,Of refined copper,Backed: 
"COPPER FOIL (WHETHER OR NOT PRINTED OR BACKED WITH PAPER, PAPERBOARD, PLASTICS OR SIMILAR BACKING MATERIALS) OF A THICKNESS (EXCLUDING ANY BACKING) NOT EXCEEDING 0.15 MM ",HSN 7410 12 00,28,Chapter 74 : Copper and articles thereof,Of copper alloys,Not backed: 
"COPPER PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.15 MM ",HSN 7409 90 00,18,Chapter 74 : Copper and articles thereof,Of other copper alloys,Of copper-tin base alloys (bronze): 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF ALUMINIUM; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF ALUMINIUM; SANITARY WARE AND PARTS THEREOF, OF ALUMINIUM ",HSN 7615 10 40,18,Chapter 76 : Aluminium and articles thereof,"Pot scourers and scouring or polishing pads, gloves and the like",Utensils: 
"COPPER FOIL (WHETHER OR NOT PRINTED OR BACKED WITH PAPER, PAPERBOARD, PLASTICS OR SIMILAR BACKING MATERIALS) OF A THICKNESS (EXCLUDING ANY BACKING) NOT EXCEEDING 0.15 MM ",HSN 7410 11 00,18,Chapter 74 : Copper and articles thereof,Of refined copper,Not backed: 
"COPPER PLATES, SHEETS AND STRIP, OF A THICKNESS EXCEEDING 0.15 MM ",HSN 7409 40 00,18,Chapter 74 : Copper and articles thereof,Of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver),Of copper-tin base alloys (bronze): 
COPPER TUBES AND PIPES ,HSN 7411 22 00,18,Chapter 74 : Copper and articles thereof,Of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver),Of copper alloys: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF ALUMINIUM; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF ALUMINIUM; SANITARY WARE AND PARTS THEREOF, OF ALUMINIUM ",HSN 7615 10 21,12,Chapter 76 : Aluminium and articles thereof,Non-stick,Utensils: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF ALUMINIUM; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF ALUMINIUM; SANITARY WARE AND PARTS THEREOF, OF ALUMINIUM ",HSN 7615 10 29,,Chapter 76 : Aluminium and articles thereof,Other,Utensils: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF ALUMINIUM; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF ALUMINIUM; SANITARY WARE AND PARTS THEREOF, OF ALUMINIUM ",HSN 7615 10 30,12,Chapter 76 : Aluminium and articles thereof,"Other Table, kitchen or other household articles",Utensils: 
"STRANDED WIRE, CABLES, PLAITED BANDS AND THE LIKE, OF ALUMINIUM, NOT ELECTRICALLY INSULATED ",HSN 7614 10 00,18,Chapter 76 : Aluminium and articles thereof,With steel core,
ALUMINIUM CONTAINERS FOR COMPRESSED OR LIQUEFIED GAS ,HSN 7613 00 99,,Chapter 76 : Aluminium and articles thereof,Other,Other: 
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF ALUMINIUM; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF ALUMINIUM; SANITARY WARE AND PARTS THEREOF, OF ALUMINIUM ",HSN 7615 10 12,18,Chapter 76 : Aluminium and articles thereof,Solar collectors,"Pressure cookers, Solar collectors "
"TABLE, KITCHEN OR OTHER HOUSEHOLD ARTICLES AND PARTS THEREOF, OF ALUMINIUM; POT SCOURERS AND SCOURING OR POLISHING PADS, GLOVES AND THE LIKE, OF ALUMINIUM; SANITARY WARE AND PARTS THEREOF, OF ALUMINIUM ",HSN 7615 10 11,12,Chapter 76 : Aluminium and articles thereof,Pressure cookers,"Pressure cookers, Solar collectors "
"STRANDED WIRE, CABLES, PLAITED BANDS AND THE LIKE, OF ALUMINIUM, NOT ELECTRICALLY INSULATED ",HSN 7614 90 00,,Chapter 76 : Aluminium and articles thereof,Other,
ALUMINIUM CONTAINERS FOR COMPRESSED OR LIQUEFIED GAS ,HSN 7613 00 92,18,Chapter 76 : Aluminium and articles thereof,Lacquered,Other: 
ALUMINIUM CONTAINERS FOR COMPRESSED OR LIQUEFIED GAS ,HSN 7613 00 93,12,Chapter 76 : Aluminium and articles thereof,Printed,Other: 
ALUMINIUM CONTAINERS FOR COMPRESSED OR LIQUEFIED GAS ,HSN 7613 00 91,18,Chapter 76 : Aluminium and articles thereof,Plain,Other: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 39 90,,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Other,Other: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 32 90,,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Other,Tubular metal needles and needles for sutures: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 32 20,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof","Hollow needles for injection, aspiration, biopsy and transfusion",Tubular metal needles and needles for sutures: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 32 30,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Hilerio venus fistula needles,Tubular metal needles and needles for sutures: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 39 10,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof","Catheters (for urine, stool)",Other: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 39 30,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Cannulae,Other: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 39 20,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Cardiac catheters,Other: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 41 00,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof","Dental drill engines, whether or not combined on a single base with other dental equipment","Other instruments and appliances, used in dental sciences: "
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 19 90,,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Other,Other: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 32 10,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Needles for suture,Tubular metal needles and needles for sutures: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 20 00,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Ultra-violet or infra-red ray apparatus,Other: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 19 20,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof",Echo cardiograph,Other: 
"INSTRUMENTS AND APPLIANCES USED IN MEDICAL, SURGICAL, DENTAL OR VETERINARY SCIENCES, INCLUDING SCIENTIGRAPHIC APPARATUS, OTHER ELECTROMEDICAL APPARATUS AND SIGHT-TESTING INSTRUMENTS ",HSN 9018 31 00,12,"Chapter 90 : Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof","Syringes, with or without needles","Syringes, needles, catheters, cannulae and the like: "
"TURBO-JETS, TURBO-PROPELLERS AND OTHER GAS TURBINES ",HSN 8411 22 00,18,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","Of a power exceeding 1,100 kW",Turbo-propellers: 
"TURBO-JETS, TURBO-PROPELLERS AND OTHER GAS TURBINES ",HSN 8411 21 00,18,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof","Of a power not exceeding 1,100 kw",Turbo-propellers: 
"TURBO-JETS, TURBO-PROPELLERS AND OTHER GAS TURBINES ",HSN 8411 12 00,18,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Of a thrust exceeding 25 kN,Turbo-jets: 
"TURBO-JETS, TURBO-PROPELLERS AND OTHER GAS TURBINES ",HSN 8411 11 00,18,"Chapter 84 : Nuclear reactors,boilers,machinery and mechanical appliances; parts thereof",Of a thrust not exceeding 25kN,Turbo-jets: 
